"education","male","white","experience","region","north","northeast","south","centerwest","log_wage_homo","wage_homo","log_wage_hetero","wage_hetero"
8,1,1,26,"Southeast",0,0,0,0,8.27977096603795,3943.29113095542,9.31916456525516,11149.6631453794
4,0,1,2,"Northeast",0,1,0,0,6.87680923055002,969.527879214208,7.33376672942069,1531.13830723798
14,0,1,13,"Northeast",0,1,0,0,8.67191619519732,5836.67284528082,9.31633930570618,11118.2069100484
7,1,1,11,"CenterWest",0,0,0,1,8.65211574520064,5722.2407387054,7.39039025828024,1620.33834001372
6,0,1,8,"Southeast",0,0,0,0,8.33288240035757,4158.38642896041,8.19951476882983,3639.18403331445
18,1,0,17,"Southeast",0,0,0,0,9.96368788575981,21240.9857798546,10.2625078938773,28638.5185713841
10,1,1,12,"Southeast",0,0,0,0,8.89071730306702,7264.2279681338,8.76187041592017,6386.04497449216
9,1,0,25,"CenterWest",0,0,0,1,9.29861111311947,10922.838081662,9.17104923705648,9614.70750685701
4,1,0,24,"Northeast",0,1,0,0,7.92002268576467,2751.83347246849,8.71562491601566,6097.44381744008
9,0,0,32,"Northeast",0,1,0,0,8.68296393068877,5901.5123684926,8.71328329392025,6083.18261196496
13,0,0,27,"Northeast",0,1,0,0,9.07108024537543,8700.01688439131,9.09554661549317,8915.50001354329
11,1,1,12,"Northeast",0,1,0,0,8.69188699760962,5954.40760117706,7.9840037112604,2933.65308251507
13,0,0,34,"CenterWest",0,0,0,1,8.2751417559241,3925.07899419721,8.76953439132845,6435.17549319704
16,0,0,0,"Southeast",0,0,0,0,9.46410229748298,12888.6492187573,9.29021304284325,10831.4914245305
14,0,0,24,"South",0,0,1,0,9.54076341896112,13915.5669782413,9.27030890490846,10618.0313418854
8,0,0,12,"Southeast",0,0,0,0,8.06940831262939,3195.21070383517,8.21946831037205,3712.52794506199
12,0,0,0,"North",1,0,0,0,7.97211083927374,2898.97017046417,9.63572532634697,15301.7935553038
9,1,1,25,"Southeast",0,0,0,0,9.45197238296892,12733.2553679115,9.68823010216436,16126.6764502096
8,0,1,21,"Northeast",0,1,0,0,8.21287536081897,3688.1319447737,8.47330176489234,4785.28931465632
4,0,1,15,"Northeast",0,1,0,0,7.66263600646872,2127.35777291436,7.7800846864313,2392.4774223333
7,0,1,16,"CenterWest",0,0,0,1,8.02638767325235,3060.66555598551,9.01457284693503,8222.03354152998
11,1,0,12,"Southeast",0,0,0,0,8.82604569849867,6809.30745382508,8.49897486018,4909.73309666654
17,0,1,12,"Southeast",0,0,0,0,10.4268677219156,33754.4561586615,9.8912201495556,19756.1506972701
11,0,1,13,"Northeast",0,1,0,0,8.93477653970132,7591.43972660704,8.3199837872665,4105.09345294851
12,0,0,4,"Southeast",0,0,0,0,8.94913589209482,7701.23428766421,8.00945571457434,3009.27876048607
6,1,0,17,"Southeast",0,0,0,0,7.92979606088016,2778.86002845669,7.60859065771592,2015.43565650945
10,1,1,10,"CenterWest",0,0,0,1,9.19097850311678,9808.24368220638,9.57827394266688,14447.4606230305
4,1,0,22,"Northeast",0,1,0,0,7.90296718707899,2705.2975549993,8.74823110496129,6299.53503042379
11,1,1,7,"Southeast",0,0,0,0,8.77464149743743,6468.12468315888,9.57708484447793,14430.2913837473
12,0,0,6,"Northeast",0,1,0,0,8.53468406242889,5088.22366021236,8.2029789279521,3651.81260694636
10,0,1,24,"South",0,0,1,0,9.32303082299703,11192.8540566307,8.92984022454021,7554.05832668222
12,1,0,0,"Southeast",0,0,0,0,8.49649669991158,4897.58105475065,9.02701299090641,8324.95567829885
11,1,1,12,"Southeast",0,0,0,0,8.65515070920494,5739.63391385088,9.41296477213417,12246.1241762485
12,1,0,22,"Southeast",0,0,0,0,9.43502684560804,12519.3014154338,8.32021028676568,4106.02335986747
16,0,0,3,"CenterWest",0,0,0,1,9.02180049705182,8281.67479664624,9.86744056860877,19291.8994391669
13,0,0,15,"Northeast",0,1,0,0,8.57212846476516,5282.36115276471,8.84317007588535,6926.91672315581
10,1,0,20,"Southeast",0,0,0,0,8.97819946166579,7928.34396894213,10.2934805157783,29539.4080152618
6,0,0,0,"Southeast",0,0,0,0,7.24777065906858,1404.96919894515,7.7394172151933,2297.13325858745
11,0,0,1,"Southeast",0,0,0,0,8.33499514333383,4167.18131807941,9.19618108162027,9859.4048094374
8,1,0,0,"Southeast",0,0,0,0,7.99514960056859,2966.53415905819,8.24848096589594,3821.81594109992
15,1,1,16,"Northeast",0,1,0,0,9.61072764375077,14924.0255112524,9.59010393295287,14619.3888916423
4,0,1,11,"CenterWest",0,0,0,1,8.22707159798709,3740.86294588388,7.92935005057497,2777.62090459884
8,0,1,23,"Southeast",0,0,0,0,8.97370226431419,7892.76869591274,10.1388449804132,25307.2192639478
11,0,1,0,"South",0,0,1,0,9.3768107621347,11811.285623231,8.52897335314343,5059.24910548248
9,0,1,20,"Southeast",0,0,0,0,8.12348616780031,3372.7582749895,9.24598805551689,10362.9067990446
7,1,0,15,"North",1,0,0,0,9.0841701752139,8814.64811559034,7.30571136935243,1488.7786567525
8,1,1,18,"Southeast",0,0,0,0,8.55287780857916,5181.64477289872,9.07924826103309,8771.36976755774
12,0,1,28,"CenterWest",0,0,0,1,9.17291378123774,9632.65127707112,8.19125466001742,3609.24778575285
13,1,0,22,"Northeast",0,1,0,0,9.24911769629567,10395.3897782645,9.75543017570334,17247.6326559149
12,1,1,21,"Northeast",0,1,0,0,9.31056643670906,11054.2078648618,8.83424009534262,6865.33486323666
17,1,1,15,"South",0,0,1,0,10.4202830644021,33532.9247798554,10.095549218928,24234.904772355
14,0,0,27,"Southeast",0,0,0,0,8.64237716953125,5666.78473380898,9.16778836131253,9583.40620293048
11,0,0,20,"Southeast",0,0,0,0,8.57664198228235,5306.25706911135,8.73260541245654,6201.86549742021
7,1,1,15,"Southeast",0,0,0,0,8.41082337069418,4495.46041850762,8.6638681316869,5789.88744997789
18,1,0,22,"Southeast",0,0,0,0,10.2047041078686,27030.0396962362,9.67361280238595,15892.6624790024
12,1,1,5,"Northeast",0,1,0,0,9.18578391259026,9757.42597535337,9.0747209484163,8731.74879049169
7,0,0,24,"CenterWest",0,0,0,1,7.9553314640304,2850.73308795565,6.72624893760667,834.01295649741
10,1,0,9,"Northeast",0,1,0,0,8.22167466790654,3720.72815203322,6.71227639140522,822.440707097053
8,0,0,13,"Southeast",0,0,0,0,8.17564341034923,3553.34044461757,9.26917634294045,10606.0125706987
9,0,0,13,"Southeast",0,0,0,0,8.80697926577513,6680.7081124819,7.39247143573461,1623.71406315643
6,1,1,13,"CenterWest",0,0,0,1,8.03397587604919,3083.97884804518,8.01692167354826,3031.82999078168
10,1,1,0,"Southeast",0,0,0,0,8.73735894800627,6231.41646568123,7.18944205542685,1325.36351989121
11,1,1,12,"Southeast",0,0,0,0,8.75922302641419,6369.16098515125,10.4401529187079,34205.8827573674
6,1,1,11,"Southeast",0,0,0,0,8.49330574086539,4881.97798180241,8.01713208270727,3032.4679826976
4,1,0,14,"Northeast",0,1,0,0,7.91795704604146,2746.15504275018,8.15194295139313,3470.11478412766
9,1,1,21,"South",0,0,1,0,8.7412701642777,6255.83660825448,8.85803340668232,7030.64272517873
10,0,0,13,"Southeast",0,0,0,0,8.55121883020749,5173.05566283461,8.57294744713134,5286.68908540894
12,0,0,0,"CenterWest",0,0,0,1,8.35019326875041,4230.99838388669,8.71456535646871,6090.98663412058
10,0,1,12,"Northeast",0,1,0,0,8.48711417046514,4851.84425524629,8.11753486565338,3352.74558128738
11,1,1,0,"CenterWest",0,0,0,1,8.48753030723057,4853.86370617579,8.13271200542315,3404.01877559633
6,0,0,11,"Northeast",0,1,0,0,7.79916712389853,2438.57010483073,7.97331215128644,2902.45483081751
12,1,0,0,"South",0,0,1,0,9.45535818320666,12776.4406941522,9.28361022965464,10760.2087023261
12,0,0,20,"Southeast",0,0,0,0,8.67141931896365,5833.77346163739,7.72480554638244,2263.81233816044
10,1,0,20,"Southeast",0,0,0,0,8.67527835859562,5856.32971938338,8.68575124077365,5917.98465946014
14,1,1,14,"Northeast",0,1,0,0,9.42542571092644,12399.6770999373,9.8558538918999,19069.6604293581
11,1,0,20,"North",1,0,0,0,8.78881424276708,6560.44846236633,8.34480467439882,4208.26056734827
10,1,1,1,"Southeast",0,0,0,0,8.26474448490442,3884.48030763134,8.31376395109537,4079.6396853955
10,0,0,25,"CenterWest",0,0,0,1,8.40580506000467,4472.95731244946,7.16047648286702,1287.5242700275
11,0,0,15,"South",0,0,1,0,8.72531668048285,6156.82610151042,9.28913732604102,10819.8460718857
13,1,0,19,"Southeast",0,0,0,0,9.19894651341196,9886.70805617747,10.4295975082767,33846.7244918307
11,1,1,27,"Southeast",0,0,0,0,9.35452516589965,11550.9754381064,9.22506422733832,10148.327852867
12,0,1,14,"South",0,0,1,0,8.59181466494865,5387.38110207819,9.37042158699794,11736.06181573
6,1,1,39,"Northeast",0,1,0,0,8.37201930137096,4324.35943711215,10.4134196143339,33303.56123798
8,1,1,5,"South",0,0,1,0,7.98434491290312,2934.65422055128,9.13520502416256,9276.17926773377
15,1,1,21,"CenterWest",0,0,0,1,9.39620711322508,12042.6177126494,9.19564220861886,9854.09327362574
5,0,0,27,"Northeast",0,1,0,0,7.33721234830459,1536.42312581002,6.9090114310412,1001.25694134851
10,0,1,3,"Southeast",0,0,0,0,8.84848552148739,6963.83440222253,8.22996632300918,3751.70740374677
